drugbank_id,drug_name,food_interaction_text
DB00734,Risperidone,Take with or without food. Food does not affect the rate or extent of absorption.
DB00736,Esomeprazole,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
DB00737,Meclizine,Avoid alcohol. Alcohol may cause additive CNS depressant effects.
DB00740,Riluzole,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00741,Hydrocortisone,Avoid alcohol.
DB00744,Zileuton,Avoid excessive or chronic alcohol consumption.
DB00744,Zileuton,"Exercise caution with grapefruit products. Zileuton is partially metabolized through CYP3A4. Therefore grapefruit, a CYP3A4 inhibitor, may reduce the metabolism of zileuton."
DB00744,Zileuton,Exercise caution with St. John's Wort. Zileuton is partially metabolized through CYP3A4. Therefore St. John's Wort may increase the metabolism of zileuton.
DB00744,Zileuton,"Take with food. The AUC and Cmin of zileuton extended-release tablets are increased by food, and therefore should be taken with meals."
DB00744,Zileuton,Take with or without food. ZYFLO (zileuton) regular release tablets can be taken with or without food.
DB00745,Modafinil,Take with or without food. The absorption is unaffected by food.
DB00747,Scopolamine,Avoid grapefruit products. Coadministration of scopolamine with grapefruit juice has been shown to delay scopolamine absorption and increase its bioavailability without altering its elimination.
DB00748,Carbinoxamine,Avoid alcohol. Ingesting alcohol may increase drowsiness caused by carbinoxamine.
DB00748,Carbinoxamine,Take on an empty stomach.
DB00749,Etodolac,Avoid alcohol.
DB00749,Etodolac,Take with food. Food reduces irritation.
DB00750,Prilocaine,"Take separate from meals. This is only required when prilocaine is used in the mouth, as it may cause numbness, which can cause bite injury when eating."
DB00752,Tranylcypromine,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of tranylcypromine.
DB00752,Tranylcypromine,Avoid St. John's Wort. Administering tranylcypromine with St. John's Wort may increase the risk of serotonin syndrome.
DB00752,Tranylcypromine,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans."
DB00754,Ethotoin,Take after a meal. This may reduce gastrointestinal upset.
DB00755,Tretinoin,"Take with food. Effect of food on tretinoin absorption is unclear, but food increases the bioavailability of retinoids drug class."
DB00757,Dolasetron,Take with or without food. The absorption is unaffected by food.
DB00758,Clopidogrel,Take with or without food.
DB00759,Tetracycline,Avoid milk and dairy products.
DB00759,Tetracycline,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00759,Tetracycline,Take with a full glass of water.
DB00761,Potassium chloride,Take with a full glass of water.
DB00761,Potassium chloride,Take with food. This reduces gastrointestinal irritation.
DB00765,Metyrosine,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of metyrosine.
DB00766,Clavulanic acid,Take with food. Take at the beginning of a meal to reduce gastric irritation.
DB00771,Clidinium,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of the combination product Chlordiazepoxide HCl and Clidinium Bromide.
DB00771,Clidinium,Take before a meal.
DB00773,Etoposide,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of etoposide."
DB00773,Etoposide,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of etoposide."
DB00774,Hydroflumethiazide,Increase consumption of potassium-rich foods. This medication may cause a loss of potassium.
DB00776,Oxcarbazepine,Avoid alcohol. Oxcarbazepine has CNS depressant properties that may be potentiated by co-administration with alcohol.
DB00776,Oxcarbazepine,Take with or without food. Co-administration with food does not significantly affect absorption.
DB00779,Nalidixic acid,Drink plenty of fluids.
DB00779,Nalidixic acid,Take with food. Food reduces irritation.
DB00780,Phenelzine,Avoid alcohol.
DB00780,Phenelzine,Avoid St. John's Wort. Administering phenelzine with St. John's Wort may increase the risk of serotonin syndrome.
DB00780,Phenelzine,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans."
DB00780,Phenelzine,Limit caffeine intake. Excess caffeine intake can also cause a hypertensive crisis.
DB00782,Propantheline,Take before a meal. Take before a meal. Propantheline bromide should be taken 15 to 30 minutes before meals.
DB00784,Mefenamic acid,Avoid alcohol.
DB00784,Mefenamic acid,Take with food.
DB00787,Acyclovir,Drink plenty of fluids. Dehydration with acyclovir predisposes patients to nephrotoxicity.
DB00787,Acyclovir,Take with or without food. The absorption is unaffected by food.
DB00788,Naproxen,Take with food. Food reduces GI irritation.
DB00790,Perindopril,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
DB00790,Perindopril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
DB00790,Perindopril,Limit salt intake. Salt may attenuate the antihypertensive effect.
DB00790,Perindopril,Take with or without food. The absorption is unaffected by food.
DB00794,Primidone,Avoid alcohol.
DB00794,Primidone,Avoid St. John's Wort.
DB00795,Sulfasalazine,Drink plenty of fluids. Inadequate fluid intake is associated with crystalluria and stone formation.
DB00796,Candesartan cilexetil,Take at the same time every day.
DB00796,Candesartan cilexetil,Take with or without food. The absorption is unaffected by food.
DB00800,Fenoldopam,Take on an empty stomach. Orally administered fenoldopam should be taken in a fasted state for optimal absorption.
DB00804,Dicyclomine,Avoid alcohol. Alcohol may increase drowsiness caused by dicyclomine.
DB00804,Dicyclomine,"Drink plenty of fluids. Dicyclomine may reduce sweating, increasing the risk of overheating in warm weather or during exercise."
DB00806,Pentoxifylline,Limit caffeine intake.
DB00806,Pentoxifylline,"Take with food. Administration with food may reduce irritation. Co-administration with food modestly increases the mean pentoxifylline AUC and maximum plasma concentrations (1.1- and 1.3-fold, respectively) achieved with an extended-release tablet."
DB00808,Indapamide,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.
DB00808,Indapamide,Increase consumption of potassium-rich foods. Indapamide my cause potassium depletion leading to hypokalemia.
DB00808,Indapamide,Take with or without food.
DB00810,Biperiden,Avoid alcohol.
DB00810,Biperiden,Take with food.
DB00811,Ribavirin,Avoid alcohol. Ribavirin is used to treat chronic hepatitis C infection; ingesting alcohol may worsen this infection.
DB00811,Ribavirin,Take with food. Taking ribavirin with a high-fat meal slows the absorption and increases the AUC and Cmax of ribavirin.
DB00812,Phenylbutazone,Avoid alcohol.
DB00812,Phenylbutazone,Take with food. Food reduces irritation.
DB00813,Fentanyl,Avoid alcohol.
DB00814,Meloxicam,Avoid alcohol. The risk of gastrointestinal bleeding may be increased.
DB00814,Meloxicam,Take with or without food. The absorption is unaffected by food.
DB00815,Sodium lauryl sulfate,"Take after a meal. When Sodium lauryl sulfate is formulated in paste form for oral health, it should be used after meals."
DB00816,Orciprenaline,Limit caffeine intake.
DB00816,Orciprenaline,Take with or without food. The absorption is unaffected by food.
DB00819,Acetazolamide,Drink plenty of fluids.
DB00819,Acetazolamide,Take with food. Take at least 6 hours before bedtime.
DB00820,Tadalafil,Avoid excessive or chronic alcohol consumption. Ingesting excess amounts of alcohol (more than four drinks in a short time) may potentiate the hypotension and dizziness caused by tadalafil.
DB00820,Tadalafil,"Avoid grapefruit products. Tadalafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of tadalafil and result in increased hypotension."
DB00820,Tadalafil,Take with or without food.
DB00822,Disulfiram,Avoid alcohol. Avoid alcohol for up to 14 days after discontinuation.
DB00822,Disulfiram,Take with or without food. The absorption is unaffected by food.
DB00828,Fosfomycin,Take with or without food. The absorption is unaffected by food.
DB00829,Diazepam,Avoid alcohol.
DB00829,Diazepam,Take on an empty stomach. Food may decrease absorption and time to therapeutic effect.
DB00831,Trifluoperazine,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may potentiate the sedative and CNS depressant effects of trifluoperazine.
DB00833,Cefaclor,Take with or without food.
DB00834,Mifepristone,Avoid grapefruit products. Grapefruit inhibits the metabolism of mifepristone through the CYP3A4 pathway causing increased serum levels of mifepristone.
DB00834,Mifepristone,Take with food. Taking mifepristone with meals has been shown to increase serum levels of mifepristone.
DB00835,Brompheniramine,Avoid alcohol.
DB00835,Brompheniramine,Take with food.
DB00839,Tolazamide,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of hypoglycemia.
DB00839,Tolazamide,Take with food. Taking tolazamide with breakfast may help reduce the risk of hypoglycemia.
DB00842,Oxazepam,Avoid alcohol. Co-administration with alcohol may potentiate the CNS effects of oxazepam.
DB00843,Donepezil,Avoid alcohol.
DB00843,Donepezil,Take with or without food. The absorption is unaffected by food.
DB00844,Nalbuphine,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of nalbuphine.
DB00845,Clofazimine,Take with food. Prescribing information for clofazimine recommends its administration with a meal.
DB00847,Cysteamine,Take on an empty stomach. The delayed-release capsules should be taken at least 30 minutes before or 2 hours after a high-fat meal to ensure adequate exposure.
DB00847,Cysteamine,Take with or without food. The immediate release preparation can be taken with or without food.
DB00848,Levamisole,Take on an empty stomach.
DB00850,Perphenazine,Avoid alcohol. Consuming alcohol may increase hypotension. Perphenazine may increase the effects of alcohol.
DB00851,Dacarbazine,Take on an empty stomach. Fasting for four to six hours before treatment may be beneficial to reduce nausea and vomiting associated with Dacarbazine therapy.
DB00852,Pseudoephedrine,Take with or without food. The absorption is unaffected by food.
DB00853,Temozolomide,Take at the same time every day.
DB00853,Temozolomide,Take on an empty stomach. Food reduces the absorption of temozolomide and taking it on an empty stomach may reduce temozolomide associated nausea and vomiting.
DB00854,Levorphanol,Avoid alcohol.
DB00854,Levorphanol,Take with or without food. Food does not significantly affect absorption.
DB00857,Terbinafine,"Limit caffeine intake. Terbinafine may reduce the metabolism of caffeine by approximately 19%, monitor for increased effects of caffeine."
DB00857,Terbinafine,Take with or without food.
DB00859,Penicillamine,Drink plenty of fluids.
DB00859,Penicillamine,Take on an empty stomach. Co-administration with food decreases bioavailability.
DB00860,Prednisolone,Avoid alcohol.
DB00860,Prednisolone,Take with food. Food reduces irritation.
DB00861,Diflunisal,Avoid alcohol.
DB00861,Diflunisal,Take with food. Food reduces irritation.
DB00862,Vardenafil,"Avoid grapefruit products. Vardenafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of vardenafil and result in increased hypotension. ."
DB00862,Vardenafil,"Take with or without food. High-fat meals reduce the Cmax of vardenafil; however, there are no changes in AUC or Tmax."
DB00863,Ranitidine,Take with or without food. The absorption is unaffected by food.
DB00864,Tacrolimus,Avoid alcohol. Consuming alcohol may increase the rate of tacrolimus release from extended-release formulations.
DB00864,Tacrolimus,Avoid grapefruit products.
DB00864,Tacrolimus,"Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of tacrolimus; therefore, monitoring tacrolimus whole blood trough concentrations may be warranted."
DB00864,Tacrolimus,Take at the same time every day.
DB00864,Tacrolimus,Take on an empty stomach. Take at least 1 hour before or 2 hours after a meal as coadministration with food decreases the rate and extent of absorption.
DB00864,Tacrolimus,"Take separate from antacids. Coadministration of tacrolimus with aluminum or magnesium hydroxide antacids may increase the serum levels of tacrolimus, which poses a risk for toxicity."
DB00865,Benzphetamine,Limit caffeine intake. Excess caffeine intake may increase the CNS stimulation caused by benzphetamine hydrochloride.
DB00868,Benzonatate,Take with or without food. The absorption is unaffected by food.
DB00874,Guaifenesin,Take with a full glass of water.
DB00874,Guaifenesin,Take with or without food. The absorption is unaffected by food.
DB00875,Flupentixol,Avoid alcohol. Flupentixol can enhance the sedative effects of alcohol.
DB00875,Flupentixol,Take with or without food. Food has negligible effects on drug pharmacokinetics.
DB00876,Eprosartan,Take with or without food. The absorption is unaffected by food.
DB00877,Sirolimus,Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of sirolimus and increases its serum concentration.
DB00877,Sirolimus,Exercise caution with St. John's Wort. This herb induces CYP3A4 and P-gp; thus it may reduce sirolimus serum concentrations.
DB00877,Sirolimus,Take with or without food. Take consistently with regard to food.
DB00878,Chlorhexidine,Take separate from meals. May affect the taste of food and beverages. Avoid eating or drinking for 30 minutes following use.
DB00879,Emtricitabine,Take with or without food. The absorption is unaffected by food.
DB00881,Quinapril,Avoid fatty foods.
DB00881,Quinapril,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
DB00881,Quinapril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
DB00881,Quinapril,Limit salt intake. Salt may attenuate the antihypertensive effect.
DB00882,Clomifene,Take with or without food. The absorption is unaffected by food.
DB00883,Isosorbide dinitrate,Take with or without food. Food decreases drug absorption.
DB00884,Risedronic acid,Administer vitamin supplements. Patients may require supplemental vitamin D.
DB00884,Risedronic acid,"Avoid multivalent ions. Calcium, antacids, and divalent ions may interfere with the absorption of this medication."
DB00884,Risedronic acid,Take on an empty stomach.
DB00884,Risedronic acid,Take with a full glass of water.
DB00887,Bumetanide,Take with food. Food reduces irritation.
DB00889,Granisetron,Take with or without food. The absorption is unaffected by food.
DB00897,Triazolam,"Avoid alcohol. Ingesting alcohol may increase the risk of complex behaviors like sleep-driving, which the patient does not remember."
DB00897,Triazolam,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of triazolam, which increases the serum concentration of triazolam."
DB00899,Remifentanil,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of remifentanil.
DB00900,Didanosine,Avoid alcohol.
DB00900,Didanosine,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00903,Etacrynic acid,Take with food. Food reduces irritation.
DB00904,Ondansetron,Take with or without food. The absorption is unaffected by food.
DB00906,Tiagabine,Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.
DB00906,Tiagabine,Take with food.
DB00908,Quinidine,"Exercise caution with grapefruit products. Grapefruit may delay the absorption of quinidine, and inhibit its metabolism through CYP3A4."
DB00908,Quinidine,Exercise caution with St. John's Wort.
DB00908,Quinidine,Take separate from antacids. Antacids may reduce the absorption of quinidine.
DB00908,Quinidine,Take with or without food. Taking quinidine with food may slow its absorption.
DB00909,Zonisamide,Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.
DB00909,Zonisamide,Take with or without food.
DB00910,Paricalcitol,Avoid antacids. Avoid taking aluminum-containing antacids chronically with paricalcitol as there is an increased risk of aluminum toxicity.
DB00910,Paricalcitol,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4, and paricalcitol metabolism is mediated partially through CYP3A4; therefore, grapefruit may increase paricalcitol serum levels."
DB00910,Paricalcitol,Take with or without food.
DB00911,Tinidazole,"Avoid alcohol. Avoid concomitant use of alcohol with tinidazole as it may cause flushing, nausea, vomiting, and headaches."
DB00911,Tinidazole,Take with food. Administering with food may reduce gastrointestinal upset and epigastric discomfort caused by tinidazole but does not affect bioavailability.
DB00912,Repaglinide,Take before a meal. Repaglinide should be taken before each meal of the day.
DB00913,Anileridine,Take with or without food. The absorption is unaffected by food.
DB00915,Amantadine,Avoid alcohol.
DB00915,Amantadine,Take with or without food. The absorption is unaffected by food.
DB00916,Metronidazole,"Avoid alcohol. Unpleasant symptoms such as nausea, vomiting, and abdominal distress may occur with alcohol."
DB00916,Metronidazole,"Take with or without food. The extended release formulation should, however, be taken without food."
DB00918,Almotriptan,Take with or without food. The absorption is unaffected by food.
DB00920,Ketotifen,Take with or without food. The co-administration of food does not significantly affect ketotifen disposition.
DB00921,Buprenorphine,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of buprenorphine.
DB00921,Buprenorphine,"Avoid grapefruit products. Grapefruit inhibits the metabolism of buprenorphine through CYP3A4, which increases the serum levels buprenorphine."
DB00921,Buprenorphine,"Take separate from meals. When buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved."
DB00924,Cyclobenzaprine,Avoid alcohol. Cyclobenzaprine is a central nervous system depressant which may be potentiated by the co-administration of alcohol.
DB00926,Etretinate,Avoid alcohol. Alcohol should be completely avoided for up to 2 months after discontinuation.
DB00926,Etretinate,Take with food. Food increases absorption.
DB00927,Famotidine,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of gastric irritation.
DB00927,Famotidine,Limit caffeine intake. Caffeine and other acidic beverages increases the risk of gastric irritation.
DB00927,Famotidine,"Take with or without food. Food slightly increases bioavailability, but not to a clinically significant extent."
DB00929,Misoprostol,Take with food. Food decreases incidence of diarrhea.
DB00930,Colesevelam,Drink plenty of fluids.
DB00930,Colesevelam,Take with food.
DB00932,Tipranavir,"Take with or without food. However, if taken with ritonavir tablets, tipranavir should be taken with food."
DB00933,Mesoridazine,Take with food. Food reduces irritation.
DB00934,Maprotiline,Limit caffeine intake.
DB00934,Maprotiline,Take with or without food.
DB00937,Diethylpropion,Take with or without food. The absorption is unaffected by food.
DB00939,Meclofenamic acid,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.
DB00939,Meclofenamic acid,Take with or without food. Taking meclofenamic acid with food reduces the rate and extent of its absorption; however it also reduces gastrointestinal upset caused by meclofenamic acid.
DB00943,Zalcitabine,Avoid multivalent ions. Magnesium and aluminum containing products can reduce the absorption of this medication.
DB00943,Zalcitabine,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00945,Acetylsalicylic acid,Avoid alcohol. Alcohol increases the risk of gastrointestinal bleeding.
DB00945,Acetylsalicylic acid,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00945,Acetylsalicylic acid,Take after a meal. This reduces irritating gastrointestinal effects.
DB00945,Acetylsalicylic acid,Take with a full glass of water.
DB00946,Phenprocoumon,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00946,Phenprocoumon,Ensure consistent Vitamin K intake. Changes in vitamin K intake may impact coagulation.
DB00946,Phenprocoumon,Exercise caution with grapefruit products.
DB00946,Phenprocoumon,Exercise caution with St. John's Wort.
DB00949,Felbamate,Avoid alcohol.
DB00950,Fexofenadine,"Avoid fruit juice. Fruit juices like grapefruit, orange, and apple may reduce bioavailability and overall exposure to the medication."
DB00950,Fexofenadine,Take with or without food. Co-administration with food does not significantly affect absorption.
DB00951,Isoniazid,Administer vitamin supplements. Vitamin B6 (pyridoxine) should be given with isoniazid to prevent deficiency.
DB00951,Isoniazid,"Avoid alcohol. Avoid drinking alcoholic beverages such as unpasteurized beer; unless approved by your physician, as they may contain tyramine. Consuming alcohol may also increase the risk of isoniazid induced hepatitis and neuropathy."
DB00951,Isoniazid,"Avoid chocolate. Chocolate contains caffeine, which should be limited during isoniazid therapy."
DB00951,Isoniazid,"Avoid histamine-containing foods and supplements. Histamine-containing foods (e.g., skipjack, tuna, other tropical fish) can cause headaches, sweating, palpitations, flushing, and hypotension."
DB00951,Isoniazid,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages."
DB00951,Isoniazid,Limit caffeine intake.
DB00951,Isoniazid,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00951,Isoniazid,Take separate from antacids. Taking this medication with antacids can reduce absorption.
DB00952,Naratriptan,Take with or without food. The absorption is unaffected by food.
DB00953,Rizatriptan,Take with or without food. Food has no significant effect on the bioavailability of rizatriptan but delays the time to reach peak concentration by an hour.
DB00956,Hydrocodone,"Avoid alcohol. Profound CNS depression, including sedation, respiratory depression, coma, and death may occur."
DB00956,Hydrocodone,Take with or without food. Cmax and AUC are not altered by food in a clinically significant way.
DB00957,Norgestimate,Take at the same time every day.
DB00957,Norgestimate,Take with or without food.
DB00958,Carboplatin,Avoid echinacea. Co-administration may decrease effectiveness of immunosuppressants.
DB00959,Methylprednisolone,Avoid alcohol.
DB00959,Methylprednisolone,Take with food. Food reduces GI irritation.
DB00960,Pindolol,Avoid alcohol. Alcohol may aggravate signs and symptoms of overdose.
DB00960,Pindolol,Take with or without food. Food does not significantly affect absorption.
DB00962,Zaleplon,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of zaleplon.
DB00962,Zaleplon,Do not take with or immediately after a high-fat meal. The effects of zaleplon are reduced when taken with a high-fat meal.
DB00966,Telmisartan,Take with or without food. Bioavailability may be slightly reduced by taking telmisartan with food.
DB00967,Desloratadine,Take with or without food. The absorption is unaffected by food.
DB00968,Methyldopa,Take with or without food. Drug pharmacokinetics is unaffected.
DB00969,Alosetron,Take with or without food. The absorption is unaffected by food.
DB00972,Azelastine,Avoid alcohol. Ingesting alcohol may cause additive CNS depressant effects.
DB00973,Ezetimibe,Take with or without food. Co-administration with food does not affect absorption.
DB00974,Edetic acid,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00975,Dipyridamole,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00975,Dipyridamole,"Avoid xanthines. Xanthines, found in coffee and tea, can reduce the effectiveness of this medication."
DB00975,Dipyridamole,Take with or without food. Taking dipyridamole extrended release capusels with a high-fat meal minimally reduces it's AUC and Cmax.
DB00976,Telithromycin,Take with or without food. The absorption is unaffected by food.
DB00977,Ethinylestradiol,Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of ethinylestradiol.
DB00978,Lomefloxacin,"Avoid multivalent ions. Separate the administration polyvalent ions, including magnesium and aluminum-containing antacids, from lomefloxacin by at least 4 hours before and 2 hours after lomefloxacin dosing."
DB00978,Lomefloxacin,Take with or without food. The rate and extent of absorption may be reduced when lomefloxacin is taken with food.
DB00980,Ramelteon,Avoid alcohol.
DB00980,Ramelteon,Do not take with or immediately after a high-fat meal.
DB00982,Isotretinoin,Avoid alcohol. Alcohol with isotretinoin can lead to inflammation of the liver.
DB00982,Isotretinoin,Avoid vitamin A supplements.
DB00982,Isotretinoin,Take with food. High-fat food increases drug absorption.
DB00985,Dimenhydrinate,Avoid alcohol.
DB00986,Glycopyrronium,Take with or without food. The absorption is unaffected by food.
DB00989,Rivastigmine,Take with food. Administering rivastigmine capsules with food delays absorption but increases the AUC.
DB00990,Exemestane,Take with food. The manufacturer recommends administration following a meal.
DB00991,Oxaprozin,Take with food. Take once daily after breakfast. Food decreases the rate but not the extent of absorption.
DB00993,Azathioprine,Take with food. Food reduces irritation.
DB00995,Auranofin,Take with food. Food reduces irritation.
DB00996,Gabapentin,Avoid alcohol. Gabapentin possesses CNS depressant activity that may be potentiated by co-administration with alcohol.
DB00996,Gabapentin,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
DB00997,Doxorubicin,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of doxorubicin."
DB00997,Doxorubicin,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of doxorubicin."
DB00998,Frovatriptan,"Take with or without food. Food does not affect bioavailability, but delays maximum concentrations by one hour."
DB00999,Hydrochlorothiazide,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.
DB00999,Hydrochlorothiazide,"Avoid multivalent ions. Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide."
DB00999,Hydrochlorothiazide,Avoid natural licorice. Licorice potentiates the hypokalemic effect of hydrochlorothiazide.
DB00999,Hydrochlorothiazide,Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice.
DB00999,Hydrochlorothiazide,"Limit salt intake. Avoid excessive salt, unless recommended by a physician."
DB00999,Hydrochlorothiazide,Take with or without food.
DB01003,Cromoglicic acid,Take before a meal. Take cromolyn sodium 30 minutes before meals.
DB01004,Ganciclovir,Take with food. Food increases bioavailability.
DB01005,Hydroxyurea,Drink plenty of fluids. Drinking extra fluids will help pass more urine to prevent kidney problems and keep the kidneys working well.
DB01006,Letrozole,Take with or without food. Food slows absorption without decreasing the quantity absorbed.
DB01008,Busulfan,Drink plenty of fluids.
DB01008,Busulfan,Exercise caution with grapefruit products.
DB01008,Busulfan,Exercise caution with St. John's Wort.
DB01008,Busulfan,Take at the same time every day.
DB01009,Ketoprofen,Avoid alcohol.
DB01009,Ketoprofen,Take with food. Food reduces irritation.
DB01011,Metyrapone,Take with food. Take metyrapone with milk or a snack according to the specific instructions for a single or multi-dose test.
DB01012,Cinacalcet,Take with food. Food markedly increases product bioavailability.
DB01014,Balsalazide,Take with or without food.
DB01016,Glyburide,Avoid alcohol. Alcohol increases the risk of hypoglycemia.
DB01016,Glyburide,Take before a meal. Take 30-60 minutes before breakfast.
DB01017,Minocycline,"Avoid multivalent ions. Separate administration of aluminium, calcium, iron and magnesium containing products from medication by at least 2 hours."
DB01017,Minocycline,Take with or without food.
DB01018,Guanfacine,Avoid alcohol.
DB01018,Guanfacine,Do not take with or immediately after a high-fat meal. High fat meals increase drug exposure.
DB01019,Bethanechol,Take on an empty stomach. Nausea and vomiting may occur if taken after food.
DB01020,Isosorbide mononitrate,Take with or without food. The absorption is unaffected by food.
DB01023,Felodipine,Avoid grapefruit products.
DB01023,Felodipine,Take with or without food. The absorption is unaffected by food.
DB01024,Mycophenolic acid,Take on an empty stomach. Take mycophenolic acid at least 1 hour before or 2 hours after eating.
DB01026,Ketoconazole,Avoid alcohol. Drinking alcohol while on ketoconazole treatment may cause liver injury.
DB01026,Ketoconazole,Avoid multivalent ions. They may decrease ketoconazole concentrations.
DB01026,Ketoconazole,Take with food. Food decreases gastrointestinal irritation caused by ketoconazole.
DB01028,Methoxyflurane,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of methoxyflurane.
DB01029,Irbesartan,Take with or without food. The absorption is unaffected by food.
DB01030,Topotecan,Take with or without food.
DB01032,Probenecid,Avoid alcohol.
DB01032,Probenecid,Drink plenty of fluids.
DB01032,Probenecid,Take with food. Food reduces irritation.
DB01033,Mercaptopurine,Drink plenty of fluids.
DB01033,Mercaptopurine,Take on an empty stomach.
DB01035,Procainamide,Avoid alcohol.
DB01035,Procainamide,Take with food. Food reduces irritation.
DB01036,Tolterodine,Take with food.
DB01037,Selegiline,"Avoid tyramine-containing foods and supplements. Consuming foods containing tyramine such as yogurt, aged cheese, ripe bananas, wine, and sourdough bread may increase the risk of having an uncontrolled hypertensive reaction."
DB01037,Selegiline,Take before a meal. Take selegiline oral disintegrating tablets before breakfast and at least 5 minutes before or after any food or drink. Taking selegiline with food reduces the AUC by approximately 60%.
DB01037,Selegiline,Take with food. Take selegiline capsules or tablets with breakfast and lunch. Food can increase the exposure to selegiline by 3-4 fold.
DB01039,Fenofibrate,Take with food. Bioavailability is increased 2- to 3-fold when taken with food.
DB01041,Thalidomide,Avoid alcohol. Ingesting alcohol may increase the drowsiness caused by thalidomide.
DB01041,Thalidomide,Take after a meal. Wait at least 1 hour after eating before taking thalidomide.
DB01043,Memantine,Take with a full glass of water.
DB01043,Memantine,Take with or without food. The absorption is unaffected by food.
DB01044,Gatifloxacin,Drink plenty of fluids.
DB01044,Gatifloxacin,Take with or without food. The absorption is unaffected by food.
DB01045,Rifampin,Avoid alcohol. Alcohol may lead to an increased risk of severe hepatocellular toxicity.
DB01045,Rifampin,Take on an empty stomach. Absorption of rifampin is reduced by about 30% when the drug is ingested with food.
DB01045,Rifampin,Take with a full glass of water. Oral capsules should be taken with a glass of water.
DB01046,Lubiprostone,Take with a full glass of water.
DB01046,Lubiprostone,Take with food. Taking lubiprostone with food may reduce nausea.
DB01048,Abacavir,Avoid alcohol. Alcohol increases the systemic exposure to the drug.
